,0,1
2160,5564725.205133791,4967852.731444532
2161,5572468.558074611,4946597.26220634
2162,5570680.401242233,4946029.973845367
2163,5571183.911451917,4946230.9552368885
2164,5571163.528513357,4946703.262565955
2165,5573393.797421426,4948563.861841565
2166,5573994.47125658,4943542.81200055
2167,5572786.882890872,4947965.060864571
2168,5569825.562042566,4947616.522551063
2169,5572557.513172444,4948300.192602268
2170,5572365.221061354,4948365.710412973
2171,5571965.015470123,4949849.450716338
2172,5572270.406668626,4948424.836242145
2173,5572152.687675504,4948633.108306997
2174,5571228.677192039,4950985.426226497
2175,5571298.292810889,4950693.989685867
2176,5571398.923500302,4950135.701290811
2177,5571425.289078974,4949987.300747999
2178,5571496.444238622,4949695.242571282
2179,5571647.721134887,4949439.563309989
2180,5571735.649605126,4949289.742866504
2181,5571788.380762672,4949216.672548319
2182,5571965.030139779,4949047.55619369
2183,5550973.628587388,4951508.784787322
2184,5573832.089760982,4949899.917687009
2185,5574516.655513072,4949727.202478625
2186,5574812.8892878145,4949862.252574471
2187,5574919.858207002,4949988.054049852
2188,5574974.849271162,4950070.91729706
2189,5581357.616348265,4941974.780188944
2190,5575592.514126061,4949744.519729122
2191,5566837.92220604,4947143.919327696
2192,5567407.899707344,4946663.765077612
2193,5574642.642980751,4949789.935558039
2194,5574555.259920004,4949755.283654639
2195,5567432.596958796,4946649.424738061
2196,5568913.635361871,4947368.03508526
2197,5568894.952363768,4946941.8425412895
2198,5574415.060000441,4949645.1356846765
2199,5574530.504807431,4948020.543408731
2200,5575056.959217114,4947983.516767749
2201,5575584.116430219,4947909.749062039
2202,5575230.959450651,4947974.734207544
2203,5574755.289491708,4948104.704498631
2204,5574875.671810595,4947796.824054795
2205,5575037.602009445,4947356.842659288
2206,5574281.750193776,4948146.25237815
2207,5575230.218734602,4946990.664404773
2208,5575046.124651564,4947492.139601668
2209,5574933.19964449,4947764.864147058
2210,5574773.400106177,4947854.351888513
2211,5574682.847034491,4947934.251657652
2212,5569881.776078121,4947630.4593865415
2213,5574360.154638464,4948104.7984292265
2214,5569895.10568082,4947722.95530959
2215,5575664.8741323445,4947881.820963398
2216,5575463.201447264,4947926.261680252
2217,5575340.200863459,4947936.812027541
2218,5575163.174835219,4947985.77667365
2219,5574897.511081623,4948041.31734784
2220,5574677.294885371,4948109.318242293
2221,5574619.667263412,4948090.109034973
2222,5576018.549537774,4949525.5264681075
2223,5576613.225458332,4949735.192453783
2224,5576053.394409303,4949411.864721111
2225,5576303.214354208,4949411.332055984
2226,5576431.586650095,4949415.060711805
2227,5576543.446326919,4949669.674642859
2228,5576467.275213759,4949465.1312337415
2229,5576470.154235944,4949539.085908168
2230,5576514.59906857,4949642.28831612
2231,5578190.979567149,4949963.7057932615
2232,5577237.015924303,4949238.518311243
2233,5577587.066383315,4949560.758480746
2234,5576965.8271151185,4946484.445293113
2235,5576950.761070162,4947608.372246891
2236,5577012.724304634,4946703.795211532
2237,5574189.383815063,4949150.421426185
2238,5576733.60777773,4948450.93683047
2239,5576937.201629834,4948609.51093418
2240,5576997.019751273,4948886.204479649
2241,5562094.055923534,4960129.76835137
2242,5562214.511992596,4959811.689044031
2243,5563266.862008434,4961396.94262096
2244,5560205.136548962,4962564.836148482
2245,5562971.410175333,4961705.703095229
2246,5562827.6768510835,4961758.9376597665
2247,5560447.373497696,4962440.900965411
2248,5562588.121310668,4961538.014216936
2249,5559980.9265359705,4962768.765858799
2250,5571636.535146732,4946897.685337279
2251,5571894.596358862,4947188.029611624
2252,5572189.079217993,4947284.946566973
2253,5571030.362231892,4947443.134427623
2254,5571327.056708149,4947763.266168983
2255,5571551.843836651,4947972.217250892
2256,5570742.79722301,4948400.092927361
2257,5570214.319257222,4947718.522298054
2258,5569542.628531692,4947944.3723119525
2259,5570419.39533156,4947073.464828504
2260,5570258.423878443,4946711.942590464
2261,5569780.830253578,4946464.859453309
2262,5569361.99420401,4946833.9775545485
2263,5569294.406582468,4946057.13976531
2264,5569851.574305769,4945470.142794874
2265,5569447.814139169,4945511.690674813
2266,5568730.846877692,4945218.724854674
2267,5565764.967448484,4950754.180858702
2268,5563404.195603682,4952004.878577916
2269,5564375.77679614,4953261.968278682
2270,5563110.164453333,4953577.306034129
2271,5561955.346457037,4953798.894727144
2272,5567848.7534270855,4947811.738694668
2273,5566807.546283542,4948706.686941167
2274,5565867.239152994,4948007.759461568
2275,5565630.511522163,4948935.690824172
2276,5564858.753369829,4945759.768548797
2277,5564795.516917091,4952075.1903743055
2278,5562277.939870177,4951278.460813487
2279,5565154.047850994,4954540.259544882
2280,5565523.165952244,4953689.028005265
2281,5566733.3526508985,4955339.362275237
2282,5566412.155579044,4955394.759448492
2283,5567183.454683698,4955843.26348574
2284,5573389.148020578,4948277.30465924
2285,5573685.949106074,4948013.648872629
2286,5573217.395108157,4947856.96200516
2287,5574022.675210709,4947774.852060171
2288,5574583.885385064,4947846.415773679
2289,5574033.504763646,4947484.346974831
2290,5574015.950273927,4948480.7660937905
2291,5573537.08432446,4948961.7627038
2292,5572610.9867991805,4949691.252977553
2293,5572943.695372584,4949313.321687838
2294,5573357.509326455,4949764.323295524
2295,5573994.803027892,4949564.321548765
2296,5572129.890525672,4950255.52065515
2297,5572455.053234118,4950107.075818032
2298,5571955.613844171,4949481.834952548
2299,5571693.464662054,4949083.33806364
2300,5574778.726736967,4948423.238259652
2301,5575398.7489453405,4948934.596782018
2302,5576014.509832689,4948638.434971149
2303,5570611.154779839,4950205.5357760275
2304,5571167.386113102,4949768.23107571
2305,5576135.688015624,4950264.515987489
2306,5576572.603319158,4949163.188101688
2307,5577431.367881273,4948851.320971236
2308,5576265.25600219,4946830.964343521
2309,5576898.029890064,4946635.105759178
2310,5577650.527490132,4946752.338359484
2311,5575339.090451433,4946320.276336134
2312,5575923.9567613965,4946251.029869562
2313,5575613.945657271,4946908.338636816
2314,5574908.697028499,4947344.058711088
2315,5577004.998809592,4945340.932497737
2316,5579527.969014163,4946199.894017113
2317,5579899.912778121,4946744.833407323
2318,5580497.419546166,4947172.540539882
2319,5580528.314123559,4948013.086111035
2320,5577935.300283066,4949186.0147217
2321,5578774.780523967,4949750.639756821
2322,5579541.81830753,4949345.814259942
2323,5577833.028578592,4951333.720515677
2324,5575730.066655589,4951835.4910655925
2325,5575683.1921243705,4951254.88607664
2326,5572015.12472267,4951267.914580624
2327,5570731.49769296,4951432.134470577
2328,5571480.280126959,4952393.348138364
2329,5573536.795262588,4951762.080854973
2330,5571673.1255023135,4953946.657372673
2331,5579129.311148042,4944548.458532973
2332,5580227.625824874,4942772.171833402
2333,5581767.375618735,4944762.39637126
2334,5581254.376788222,4946116.080509973
2335,5570980.824379279,4958409.644068767
2336,5568125.73929598,4958946.570517269
2337,5567337.394907308,4960224.966823222
2338,5566293.371257444,4959364.179977214
2339,5564388.560761572,4959743.437547981
2340,5564848.783431716,4960970.698001696
2341,5562743.690847926,4961298.819720214
2342,5562909.882367703,4959798.834721228
2343,5582422.471317644,4941121.464691187
2344,5583754.586947835,4944938.669097014
2345,5580440.05705891,4950606.5152071025
2346,5580886.011989423,4949124.016384046
2347,5574210.905712451,4961443.704634844
2348,5565049.065519761,4964712.137857072
2349,5568664.436326203,4965106.076866754
2350,5572224.30569483,4941341.2172884215
2351,5568106.9926630985,4943350.707959221
2352,5559437.990398986,4951013.298420684
2353,5571279.116850863,4969493.340041342
2354,5575578.789759943,4972131.097752634
2355,5559762.557298354,4937409.560382483
2356,5549608.9026737595,4953393.733522715
2357,5552648.621352029,4955379.844823495
