indiv_id,trip_id,origin_taz,destination_taz,origin_departure_time,destination_arrival_time,travel_distance,origin_node,destination_node
23539,38836,99,2341,1230,1256,17,99,2245
69370,111663,99,2253,1114,1128,3,712,369
88176,141388,99,2328,849,900,5,712,1108
97088,154705,99,2350,1709,1736,10,99,2004
4352,6889,99,2328,1059,1110,5,99,1105
3279,5222,99,435,1109,1124,4,99,782
80079,128746,99,528,1546,1600,4,712,2459
27455,44992,99,2322,1856,1912,8,2398,2231
20635,34044,99,2309,1851,1902,6,2398,1756
81409,130809,99,1790,709,722,3,2398,1790
57213,92687,99,1790,1222,1235,3,2398,579
76806,123565,99,244,913,919,3,2398,1029
51257,83222,99,166,2126,2137,6,2398,201
64059,103393,99,2274,1412,1435,10,712,2137
71464,115117,137,2325,703,712,4,1368,1620
3452,5534,137,2287,1325,1341,8,1612,796
6911,11272,137,2326,1330,1350,10,1847,224
95051,151597,137,244,1059,1115,7,158,311
1852,2949,137,2269,2014,2047,18,1055,1592
2832,4452,137,671,1335,1408,13,1856,671
95337,152091,137,2273,1013,1045,18,1858,2273
46602,75737,137,2359,1207,1257,25,1368,596
26852,44097,137,2288,1239,1255,8,1369,2204
27443,44980,137,2328,1207,1229,8,1612,1108
23933,39444,137,2325,652,701,4,123,1522
45103,73390,137,2302,625,641,7,1612,1020
1859,2958,137,2323,1512,1531,9,1848,2322
837,1355,137,2287,947,1003,8,1055,796
2015,3187,137,671,1347,1420,13,158,679
33616,55090,137,2349,1616,1644,15,1847,1424
1887,2995,137,1787,1922,1952,12,1847,619
11880,19611,139,2327,1252,1307,9,1045,430
87741,140738,139,2349,2230,2252,18,1626,1514
2042,3224,139,2280,954,1017,17,1044,1584
61932,99985,139,2329,1143,1156,7,1047,1122
45008,73230,139,2250,842,907,9,139,446
2040,3222,139,2320,955,1007,8,1853,1980
32977,54085,139,2290,710,726,5,1859,1323
2067,3258,139,2307,728,739,4,1618,1141
94757,151177,139,83,1155,1220,20,1045,1817
1931,3053,139,137,1804,1817,3,1859,1055
97566,155387,139,2330,1217,1230,10,1046,131
89343,143084,139,86,1026,1049,19,1850,1974
81096,130362,139,2287,947,1003,6,1853,768
76928,123720,139,2321,957,1011,5,1627,1765
97809,155787,139,2305,845,856,3,1859,2414
95625,152529,139,2262,721,747,12,1627,487
2077,3268,139,86,1200,1223,19,1850,1406
7376,11942,139,244,943,956,5,1045,995
8157,13180,139,436,621,651,11,1617,436
73328,118216,139,2330,944,957,10,1626,148
86074,138239,139,2322,735,745,5,1627,1143
7206,11693,139,2345,655,705,7,1868,2375
1928,3050,139,153,1448,1506,5,1850,1062
25779,42236,139,2330,1629,1642,10,1850,571
7350,11908,139,2286,752,809,7,1046,731
14150,23171,139,2288,1049,1105,6,1045,2288
2139,3386,139,2287,1044,1100,6,1625,741
2306,3654,139,2329,1625,1638,7,1626,1731
97817,155795,139,2329,1927,1940,7,1850,1763
95662,152579,139,2329,1603,1616,7,139,994
71839,115737,139,2329,1412,1425,7,1626,210
47568,77304,139,2310,846,903,7,139,2235
33790,55421,139,2283,533,554,16,1850,978
14154,23176,139,2326,734,749,8,1047,170
68441,110273,143,1997,1131,1153,13,1557,2151
71516,115179,143,2270,1628,1639,8,1556,1690
45665,74243,143,2326,1019,1032,5,986,2326
39433,64319,143,83,1557,1606,6,982,1841
44190,71972,143,2382,1053,1128,22,143,1639
35268,57752,143,2341,1804,1819,9,1828,1379
67225,108331,143,2329,741,755,7,165,1117
781,1261,143,2279,1006,1013,4,981,2279
72621,117011,143,2306,1009,1028,10,982,1078
43517,70932,143,73,601,607,5,165,1412
